S6: N=20, L=20, pop=60
S15: N=20, L=20, pop=60
S18: N=20, L=20, pop=60
S22: N=20, L=20, pop=60
S30: N=20, L=20, pop=60
S33: N=20, L=20, pop=60
S38: N=20, L=20, pop=60
S39: N=20, L=20, pop=60
S44: N=20, L=20, pop=60
S50: N=20, L=20, pop=60
S58: N=20, L=20, pop=60
S67: N=20, L=20, pop=60
S70: N=20, L=20, pop=60
S77: N=20, L=20, pop=60
S87: N=20, L=20, pop=60
S90: N=20, L=20, pop=60
S93: N=20, L=20, pop=60
S94: N=20, L=20, pop=60
S98: N=20, L=20, pop=60
S103: N=20, L=20, pop=60
S107: N=20, L=20, pop=60
S115: N=20, L=20, pop=60
S118: N=20, L=20, pop=60
S128: N=20, L=20, pop=60
S129: N=20, L=20, pop=60
S134: N=20, L=20, pop=60
S143: N=20, L=20, pop=60
S151: N=20, L=20, pop=60
S152: N=20, L=20, pop=60
S158: N=20, L=20, pop=60
S164: N=20, L=20, pop=60
S168: N=20, L=20, pop=60
S169: N=20, L=20, pop=60
S175: N=20, L=20, pop=60
S176: N=20, L=20, pop=60
S179: N=20, L=20, pop=60
S186: N=20, L=20, pop=60
S187: N=20, L=20, pop=60
S193: N=20, L=20, pop=60
S202: N=20, L=20, pop=60
S209: N=20, L=20, pop=60
S218: N=20, L=20, pop=60
S227: N=20, L=20, pop=60
S234: N=20, L=20, pop=60
S241: N=20, L=20, pop=60
S249: N=20, L=20, pop=60
S253: N=20, L=20, pop=60
S263: N=20, L=20, pop=60
S273: N=20, L=20, pop=60
S278: N=20, L=20, pop=60
S282: N=20, L=20, pop=60
S286: N=20, L=20, pop=60
S287: N=20, L=20, pop=60
S293: N=20, L=20, pop=60
S301: N=20, L=20, pop=60
S303: N=20, L=20, pop=60
S304: N=20, L=20, pop=60
S305: N=20, L=20, pop=60
S308: N=20, L=20, pop=60
S316: N=20, L=20, pop=60
S321: N=20, L=20, pop=60
S329: N=20, L=20, pop=60
S335: N=20, L=20, pop=60
S336: N=20, L=20, pop=60
S339: N=20, L=20, pop=60
S343: N=20, L=20, pop=60
S352: N=20, L=20, pop=60
S356: N=20, L=20, pop=60
S362: N=20, L=20, pop=60
S369: N=20, L=20, pop=60
S378: N=20, L=20, pop=60
S384: N=20, L=20, pop=60
S385: N=20, L=20, pop=60
S387: N=20, L=20, pop=60
S397: N=20, L=20, pop=60
S402: N=20, L=20, pop=60
S406: N=20, L=20, pop=60
S411: N=20, L=20, pop=60
S414: N=20, L=20, pop=60
S420: N=20, L=20, pop=60
S428: N=20, L=20, pop=60
S435: N=20, L=20, pop=60
S441: N=20, L=20, pop=60
S447: N=20, L=20, pop=60
S448: N=20, L=20, pop=60
S458: N=20, L=20, pop=60
S465: N=20, L=20, pop=60
S472: N=20, L=20, pop=60
S480: N=20, L=20, pop=60
S484: N=20, L=20, pop=60
S486: N=20, L=20, pop=60
S493: N=20, L=20, pop=60
S502: N=20, L=20, pop=60
S507: N=20, L=20, pop=60
S516: N=20, L=20, pop=60
S520: N=20, L=20, pop=60
S527: N=20, L=20, pop=60
S529: N=20, L=20, pop=60
S539: N=20, L=20, pop=60
S540: N=20, L=20, pop=60
S545: N=20, L=20, pop=60
S553: N=20, L=20, pop=60
S563: N=20, L=20, pop=60
S569: N=20, L=20, pop=60
S570: N=20, L=20, pop=60
S576: N=20, L=20, pop=60
S578: N=20, L=20, pop=60
S588: N=20, L=20, pop=60
S595: N=20, L=20, pop=60
S603: N=20, L=20, pop=60
S610: N=20, L=20, pop=60
S612: N=20, L=20, pop=60
S620: N=20, L=20, pop=60
S625: N=20, L=20, pop=60
S627: N=20, L=20, pop=60
S629: N=20, L=20, pop=60
S633: N=20, L=20, pop=60
S635: N=20, L=20, pop=60
S644: N=20, L=20, pop=60
S645: N=20, L=20, pop=60
S655: N=20, L=20, pop=60
S660: N=20, L=20, pop=60
S662: N=20, L=20, pop=60
S672: N=20, L=20, pop=60
S682: N=20, L=20, pop=60
S685: N=20, L=20, pop=60
S695: N=20, L=20, pop=60
S696: N=20, L=20, pop=60
S700: N=20, L=20, pop=60
S708: N=20, L=20, pop=60
S710: N=20, L=20, pop=60
S718: N=20, L=20, pop=60
S721: N=20, L=20, pop=60
S723: N=20, L=20, pop=60
S731: N=20, L=20, pop=60
S732: N=20, L=20, pop=60
S740: N=20, L=20, pop=60
S748: N=20, L=20, pop=60
S751: N=20, L=20, pop=60
S752: N=20, L=20, pop=60
S761: N=20, L=20, pop=60
S770: N=20, L=20, pop=60
S774: N=20, L=20, pop=60
S779: N=20, L=20, pop=60
S788: N=20, L=20, pop=60
S795: N=20, L=20, pop=60
S804: N=20, L=20, pop=60
S809: N=20, L=20, pop=60
S812: N=20, L=20, pop=60
S817: N=20, L=20, pop=60
