S10: N=20, L=20, pop=60
S12: N=20, L=20, pop=60
S14: N=20, L=20, pop=60
S16: N=20, L=20, pop=60
S19: N=20, L=20, pop=60
S21: N=20, L=20, pop=60
S26: N=20, L=20, pop=60
S27: N=20, L=20, pop=60
S32: N=20, L=20, pop=60
S38: N=20, L=20, pop=60
S46: N=20, L=20, pop=60
S47: N=20, L=20, pop=60
S52: N=20, L=20, pop=60
S55: N=20, L=20, pop=60
S61: N=20, L=20, pop=60
S62: N=20, L=20, pop=60
S69: N=20, L=20, pop=60
S79: N=20, L=20, pop=60
S88: N=20, L=20, pop=60
S93: N=20, L=20, pop=60
S103: N=20, L=20, pop=60
S113: N=20, L=20, pop=60
S122: N=20, L=20, pop=60
S124: N=20, L=20, pop=60
S132: N=20, L=20, pop=60
S141: N=20, L=20, pop=60
S151: N=20, L=20, pop=60
S157: N=20, L=20, pop=60
S163: N=20, L=20, pop=60
S172: N=20, L=20, pop=60
S179: N=20, L=20, pop=60
S184: N=20, L=20, pop=60
S192: N=20, L=20, pop=60
S200: N=20, L=20, pop=60
S204: N=20, L=20, pop=60
S206: N=20, L=20, pop=60
S210: N=20, L=20, pop=60
S216: N=20, L=20, pop=60
S224: N=20, L=20, pop=60
S226: N=20, L=20, pop=60
S235: N=20, L=20, pop=60
S237: N=20, L=20, pop=60
S243: N=20, L=20, pop=60
S244: N=20, L=20, pop=60
S251: N=20, L=20, pop=60
S253: N=20, L=20, pop=60
S254: N=20, L=20, pop=60
S263: N=20, L=20, pop=60
S269: N=20, L=20, pop=60
S274: N=20, L=20, pop=60
S282: N=20, L=20, pop=60
S287: N=20, L=20, pop=60
S290: N=20, L=20, pop=60
S298: N=20, L=20, pop=60
S305: N=20, L=20, pop=60
S311: N=20, L=20, pop=60
S314: N=20, L=20, pop=60
S322: N=20, L=20, pop=60
S326: N=20, L=20, pop=60
S336: N=20, L=20, pop=60
S339: N=20, L=20, pop=60
S348: N=20, L=20, pop=60
S357: N=20, L=20, pop=60
S362: N=20, L=20, pop=60
S368: N=20, L=20, pop=60
S373: N=20, L=20, pop=60
S378: N=20, L=20, pop=60
S383: N=20, L=20, pop=60
S387: N=20, L=20, pop=60
S395: N=20, L=20, pop=60
S401: N=20, L=20, pop=60
S407: N=20, L=20, pop=60
S411: N=20, L=20, pop=60
S419: N=20, L=20, pop=60
S420: N=20, L=20, pop=60
S426: N=20, L=20, pop=60
S433: N=20, L=20, pop=60
S436: N=20, L=20, pop=60
S438: N=20, L=20, pop=60
S440: N=20, L=20, pop=60
S442: N=20, L=20, pop=60
S446: N=20, L=20, pop=60
S456: N=20, L=20, pop=60
S458: N=20, L=20, pop=60
S465: N=20, L=20, pop=60
S475: N=20, L=20, pop=60
S485: N=20, L=20, pop=60
S486: N=20, L=20, pop=60
S496: N=20, L=20, pop=60
S499: N=20, L=20, pop=60
S509: N=20, L=20, pop=60
S519: N=20, L=20, pop=60
S527: N=20, L=20, pop=60
S535: N=20, L=20, pop=60
S540: N=20, L=20, pop=60
S548: N=20, L=20, pop=60
S549: N=20, L=20, pop=60
S559: N=20, L=20, pop=60
S561: N=20, L=20, pop=60
S563: N=20, L=20, pop=60
S568: N=20, L=20, pop=60
S572: N=20, L=20, pop=60
S574: N=20, L=20, pop=60
S576: N=20, L=20, pop=60
S578: N=20, L=20, pop=60
S583: N=20, L=20, pop=60
S590: N=20, L=20, pop=60
S595: N=20, L=20, pop=60
S602: N=20, L=20, pop=60
S611: N=20, L=20, pop=60
S614: N=20, L=20, pop=60
S615: N=20, L=20, pop=60
S624: N=20, L=20, pop=60
S631: N=20, L=20, pop=60
S636: N=20, L=20, pop=60
S638: N=20, L=20, pop=60
S642: N=20, L=20, pop=60
S644: N=20, L=20, pop=60
S647: N=20, L=20, pop=60
