S10: N=20, L=20, pop=60
S12: N=20, L=20, pop=60
S20: N=20, L=20, pop=60
S24: N=20, L=20, pop=60
S31: N=20, L=20, pop=60
S34: N=20, L=20, pop=60
S37: N=20, L=20, pop=60
S40: N=20, L=20, pop=60
S50: N=20, L=20, pop=60
S56: N=20, L=20, pop=60
S65: N=20, L=20, pop=60
S69: N=20, L=20, pop=60
S77: N=20, L=20, pop=60
S83: N=20, L=20, pop=60
S91: N=20, L=20, pop=60
S100: N=20, L=20, pop=60
S105: N=20, L=20, pop=60
S113: N=20, L=20, pop=60
S122: N=20, L=20, pop=60
S127: N=20, L=20, pop=60
S134: N=20, L=20, pop=60
S139: N=20, L=20, pop=60
S147: N=20, L=20, pop=60
S150: N=20, L=20, pop=60
S153: N=20, L=20, pop=60
S163: N=20, L=20, pop=60
S168: N=20, L=20, pop=60
S170: N=20, L=20, pop=60
S175: N=20, L=20, pop=60
S179: N=20, L=20, pop=60
S184: N=20, L=20, pop=60
S185: N=20, L=20, pop=60
S195: N=20, L=20, pop=60
S198: N=20, L=20, pop=60
S199: N=20, L=20, pop=60
S201: N=20, L=20, pop=60
S202: N=20, L=20, pop=60
S209: N=20, L=20, pop=60
S218: N=20, L=20, pop=60
S226: N=20, L=20, pop=60
S227: N=20, L=20, pop=60
S232: N=20, L=20, pop=60
S237: N=20, L=20, pop=60
S238: N=20, L=20, pop=60
S247: N=20, L=20, pop=60
S257: N=20, L=20, pop=60
S261: N=20, L=20, pop=60
S264: N=20, L=20, pop=60
S266: N=20, L=20, pop=60
S270: N=20, L=20, pop=60
S275: N=20, L=20, pop=60
S283: N=20, L=20, pop=60
S292: N=20, L=20, pop=60
S297: N=20, L=20, pop=60
S301: N=20, L=20, pop=60
S302: N=20, L=20, pop=60
S307: N=20, L=20, pop=60
S313: N=20, L=20, pop=60
S316: N=20, L=20, pop=60
S324: N=20, L=20, pop=60
S329: N=20, L=20, pop=60
S339: N=20, L=20, pop=60
S349: N=20, L=20, pop=60
S354: N=20, L=20, pop=60
S361: N=20, L=20, pop=60
S369: N=20, L=20, pop=60
S378: N=20, L=20, pop=60
S384: N=20, L=20, pop=60
S390: N=20, L=20, pop=60
S394: N=20, L=20, pop=60
S400: N=20, L=20, pop=60
S402: N=20, L=20, pop=60
S411: N=20, L=20, pop=60
S418: N=20, L=20, pop=60
S425: N=20, L=20, pop=60
S434: N=20, L=20, pop=60
S440: N=20, L=20, pop=60
S443: N=20, L=20, pop=60
S451: N=20, L=20, pop=60
S452: N=20, L=20, pop=60
S455: N=20, L=20, pop=60
S461: N=20, L=20, pop=60
S463: N=20, L=20, pop=60
S469: N=20, L=20, pop=60
S477: N=20, L=20, pop=60
S478: N=20, L=20, pop=60
S488: N=20, L=20, pop=60
S496: N=20, L=20, pop=60
S505: N=20, L=20, pop=60
S512: N=20, L=20, pop=60
S519: N=20, L=20, pop=60
S524: N=20, L=20, pop=60
S530: N=20, L=20, pop=60
S538: N=20, L=20, pop=60
S540: N=20, L=20, pop=60
S542: N=20, L=20, pop=60
S547: N=20, L=20, pop=60
S550: N=20, L=20, pop=60
S558: N=20, L=20, pop=60
